hidden_size,train_size,batch_size,test_noise,train_noise,accuracy,train_size_percentage,epochs
"[5, 5]",0.1,512,False,False,0.09924074074074074,0.1,10
"[5, 5]",0.1,512,False,True,0.10011111111111111,0.1,10
"[5, 5]",0.1,512,True,False,0.10011111111111111,0.1,10
"[5, 5]",0.1,512,True,True,0.10012962962962962,0.1,10
"[5, 5]",0.2,512,False,False,0.10095833333333333,0.2,10
"[5, 5]",0.2,512,False,True,0.3535,0.2,10
"[5, 5]",0.2,512,True,False,0.1010625,0.2,10
"[5, 5]",0.2,512,True,True,0.35120833333333334,0.2,10
"[5, 5]",0.1,1024,False,False,0.09983333333333333,0.1,10
